wavelength	n	k
206.60000000000002	1.543	0
226.70000000000002	1.52276	0
248.3	1.50841	0
265.2	1.50004	0
280.3	1.49404	0
302.2	1.48719	0
330.3	1.48053	0
361.1	1.47512	0
404.70000000000005	1.46961	0
435.8	1.46669	0
467.8	1.46429	0
508.6	1.46187	0
546.1	1.46008	0
577	1.45885	0
589.3000000000001	1.45841	0
643.8000000000001	1.45671	0
667.8000000000001	1.45608	0
706.5	1.45515	0
852.1	1.45248	0
894.4000000000001	1.45185	0
1014	1.45025	0
1128.6000000000001	1.44888	0
1362.2	1.44621	0
1469.5	1.44497	0
1660.6000000000001	1.44267	0
1709.1000000000001	1.44205	0
2058.1	1.43722	0
