wavelength	n	k
350.397168	2.0211754260634485	3.982889752224084E-06
351.986475	2.019168864556958	3.490531377127858E-06
353.575781	2.0172541005006837	6.242282954051957E-06
355.165088	2.015625159737074	2.469372280396593E-06
356.75437	2.014757172887791	2.4324937822032952E-06
358.343628	2.0146663841707544	2.133383638148895E-06
359.932886	2.0142393221960786	2.0813197730437805E-06
361.522144	2.0130445248774738	1.5206730859543906E-06
363.111377	2.011555660378802	1.4976170139427625E-06
364.70061	2.009577929841792	3.0122596965316007E-06
366.289819	2.0074797310923276	1.0821535446915434E-06
367.879028	2.0067085105698164	1.0654638421021368E-06
369.468213	2.0067010870626425	9.903837819631565E-07
371.057397	2.0063295058299464	-5.576583754231085E-07
372.646582	2.005030728488171	-4.156877920411351E-06
374.235718	2.0029717434436627	8.419648466319897E-07
375.824878	2.000966510125862	7.161866810543134E-07
377.414014	2.00120807406744	5.747629596277218E-07
379.003125	2.0009825367391474	6.045491818511326E-07
380.592236	1.9998477292050691	4.1375669233723747E-07
382.181323	1.9978017189204131	4.244726508421891E-07
383.77041	1.9962089277478445	2.1223254875667525E-06
385.359473	1.9968804689986583	9.19030788274772E-08
386.948535	1.9962658086935678	3.0203691662375375E-07
388.537573	1.9941798453733353	2.1889751976786187E-07
390.126587	1.99241962863084	2.457853725329464E-07
391.715601	1.9932034520975053	3.337433969670452E-07
393.30459	1.9925320934280748	1.5192939701983224E-07
394.893579	1.9903564026418499	4.671989887999943E-06
396.482544	1.989407283779435	9.284697101857476E-08
398.071484	1.9902915906350618	-8.401314780209945E-07
399.660425	1.9887262395909764	8.676425587529359E-08
401.249341	1.986515861492193	-6.239780037913819E-10
402.838232	1.9875926552930114	-4.2546063479001895E-06
404.4271	1.9867550123949247	-9.602209008620957E-09
406.015967	1.9842573074658132	4.966157002750627E-08
407.60481	1.9849498734460862	1.399263962728772E-07
409.193652	1.9846691660184468	-4.798381154353203E-07
410.782471	1.9820942221447602	5.666079310898944E-07
412.37124	1.9825592742692841	2.447736712898478E-07
413.96001	1.98238636786173	-1.508195639190824E-06
415.548779	1.979903409827256	0
417.1375	1.9806825219214466	0
418.726221	1.9801286241268794	2.9382097211348563E-08
420.314893	1.977865364995088	8.650066103080445E-08
421.903564	1.9790609409469668	3.7681089660476185E-07
423.492236	1.9778019362146613	3.4122942872231293E-06
425.080859	1.9760066628710065	4.027451116808485E-06
426.669482	1.9771260338027061	3.2871265799801973E-06
428.258057	1.974982784752972	0
429.846582	1.9751754939085753	0
431.435156	1.9749422620070762	9.666788683529123E-10
433.023633	1.9727331424113541	-2.5070575142646893E-08
434.612158	1.9740269418356224	1.1322063088800667E-07
436.200586	1.9721710384939093	1.9134070118566723E-07
437.789063	1.9721740185545635	6.93161178152789E-08
439.377441	1.971865007872462	7.17209289374145E-08
440.965869	1.969875158022353	0
442.554199	1.9710274338351006	0
444.142529	1.9687128788802113	0
445.730859	1.9698081883684608	3.7404920746979666E-11
447.319141	1.9684232931068926	5.2618233282688405E-08
448.907373	1.9681203669407805	2.706912145943372E-07
450.495605	1.9679234724760708	4.418550096765997E-07
452.083789	1.9662706912260313	4.6628175919088374E-07
453.671973	1.967171776408425	6.06693866058136E-07
455.260107	1.9647758854160036	5.29052916765716E-07
456.848193	1.9662515467050536	-3.164590524104077E-07
458.436279	1.9638664750972574	4.141350914134764E-07
460.024316	1.9651990630661593	2.746628671526543E-07
461.612305	1.963246240112996	-2.5534357743211964E-07
463.200293	1.9641382440518231	-1.9494920385714086E-07
464.788232	1.9627347574980056	2.182132810770049E-07
466.376172	1.9630214983094452	1.749352074908332E-07
467.964014	1.9619307935165449	1.4461583587783513E-07
469.551855	1.961993951580098	4.981367730544784E-07
471.139697	1.961169603720179	5.496979694785705E-07
472.727441	1.9610062942726723	-2.1949189079180793E-08
474.315186	1.9603815532637647	-2.0723379400926817E-09
475.902881	1.9600847084857544	0
477.490527	1.9594318976599452	0
479.078174	1.959310744670333	1.707382912825994E-06
480.665771	1.958546957322326	0
482.25332	1.9585270872982428	0
483.84082	1.957449283800196	1.284688418519597E-06
485.428271	1.9578566057784752	1.6363463405685712E-10
487.015723	1.956490564742544	-2.2448579669384866E-09
488.603125	1.9571888507340698	0
490.19043	1.9552605640789114	0
491.777734	1.9564995278956436	5.182843837310976E-08
493.36499	1.9542203047806235	1.37380852285478E-07
494.952246	1.9557186254864272	1.2993070903596137E-07
496.539404	1.9534997285531512	2.1973420909849095E-08
498.126514	1.954813059435758	1.6216074734591137E-07
499.713623	1.9533432625527027	3.536852802898437E-06
501.300684	1.9538025277140847	3.319756000978429E-07
502.887646	1.953289242008742	1.2462394439985257E-07
504.474609	1.952541030510725	3.2775868491312446E-06
506.061523	1.9529953268432034	2.9533786865487796E-07
507.64834	1.951065656675374	2.2462592993052103E-08
509.235156	1.9524314027403253	4.980066768058608E-07
510.821924	1.9501993606187316	2.4421573719867824E-07
512.408643	1.9515359007577258	3.1480902383835792E-06
513.995264	1.9504987637318603	2.0423075210809286E-07
515.581885	1.9502543993560082	9.215353671396805E-08
517.168457	1.9505307219808594	5.713904309480552E-08
518.754932	1.9486656866192797	1.9515730245358314E-08
520.341406	1.9500543716861063	0
521.927783	1.948055192193476	0
523.51416	1.949040655816202	4.82045257733953E-08
525.100439	1.9486021326229634	1.8552233937003505E-07
526.68667	1.9474629006121214	2.4549718240373213E-07
528.272852	1.948481248007075	2.746814896133978E-07
529.858984	1.9463920001367312	3.8592110548337655E-07
531.445068	1.9475501639201718	4.621220521907327E-07
533.031055	1.9470383254559331	2.3133757286830286E-07
534.616992	1.9459667897303574	8.154294908639358E-08
536.202881	1.9469785197253484	5.053598946373537E-08
537.788721	1.9449485084655214	0
539.374512	1.9460079462400477	0
540.960254	1.9457959024566414	0
542.545898	1.9442833660876675	0
544.131494	1.9456014890420261	0
545.716992	1.9442238649340262	3.929726026297012E-08
547.30249	1.9442469627108356	1.1243127151967785E-07
548.887891	1.9447432447289643	2.7301504672235002E-08
550.473242	1.9426970786065059	2.7161192310808984E-07
552.058496	1.9439052289945034	4.368073709669024E-07
553.643701	1.9435943381537526	3.724322458808467E-07
555.228857	1.9420005079345446	2.5171117655930774E-06
556.813965	1.9433829755539522	3.7184169369064353E-07
558.398975	1.9423765372100696	2.553537377552069E-07
559.983936	1.9417458783397206	4.175430683179981E-07
561.568799	1.942671146034305	3.2637646608320874E-07
563.153613	1.941140662034972	5.343191403403291E-07
564.73833	1.9413832434476193	1.973266357836753E-06
566.322998	1.9418876369886966	1.1842650040551401E-07
567.907617	1.9400455975029038	0
569.492139	1.9408900464342393	0
571.076611	1.9410939993447465	0
572.660986	1.939091718572855	0
574.245313	1.9403181622432937	0
575.829541	1.9403267028233295	0
577.413672	1.9383167920991022	0
578.997803	1.9396621806733816	0
580.581787	1.9395900981082557	-3.4823645199551993E-07
582.165723	1.937632517444096	-2.2818980074614423E-07
583.749609	1.938976635870081	-1.1012281648913297E-08
585.333398	1.938925906228788	-5.25527938902695E-07
586.91709	1.9370452365576714	5.116308237194757E-08
588.500684	1.9382498892211981	1.1553881903642839E-07
590.084229	1.9383550605560804	1.5518531411111254E-07
591.667725	1.9365410554567244	1.6172444171967398E-07
593.251123	1.937516838605011	1.537056058489303E-09
594.834424	1.9378227214141481	1.2219118647609835E-06
596.417627	1.9361328124753825	1.733886505622402E-06
598.000781	1.936690204099411	3.426290938997439E-07
599.583838	1.937288691860625	7.278293175952872E-08
601.166797	1.9359821357413276	1.2805800308458445E-07
602.749707	1.935788811971271	-1.8509948865243616E-07
604.33252	1.9366926505062318	-2.794762553525442E-07
605.915234	1.9358307081830572	3.445742258988384E-08
607.497852	1.9346857916198144	-3.3267913710735913E-07
609.08042	1.9359113202850253	-2.245611423967198E-07
610.662891	1.9356136594552331	0
612.245264	1.933809080626104	0
613.827539	1.934986611767956	0
615.409717	1.9352753568764007	3.5207947563329287E-08
616.991846	1.933793199209489	1.4142461917935426E-09
618.573877	1.9339041376140353	1.492604238942833E-09
620.155762	1.9347465219352304	0
621.737598	1.9339914485909158	2.3751877773966747E-08
623.319385	1.932646124687961	0
624.901025	1.9339163125357641	0
