wavelength	aoi	alpha	beta
350.397168	45	-0.19780682823770915	-0.9747514123643873
351.986475	45	-0.1967518466629766	-0.9751328189687748
353.575781	45	-0.1955115560903204	-0.9755716159685471
355.165088	45	-0.1941047755510143	-0.9760679847715973
356.75437	45	-0.19256647873305874	-0.9766180409275451
358.343628	45	-0.1909423877122211	-0.9772147065788432
359.932886	45	-0.18933194266258496	-0.9778413319789926
361.522144	45	-0.18779130460963786	-0.9784850633942852
363.111377	45	-0.18641994877033818	-0.9791256501444203
364.70061	45	-0.18536624278862443	-0.9797325510867498
366.289819	45	-0.1849178277235455	-0.9802336385815515
367.879028	45	-0.18515704077368816	-0.9806012707296625
369.468213	45	-0.18625486675155944	-0.9807847007391356
371.057397	45	-0.18829461675941225	-0.9807425117554189
372.646582	45	-0.19111454823043197	-0.9804869206034209
374.235718	45	-0.1946480504629152	-0.9800267967373404
375.824878	45	-0.19869452428026052	-0.9793953056610275
377.414014	45	-0.2028659268516642	-0.9786763686798018
379.003125	45	-0.20713325498263954	-0.9778844301003748
380.592236	45	-0.21133990211384593	-0.9770600940637441
382.181323	45	-0.21538377958991592	-0.9762356084242364
383.77041	45	-0.21928262056444	-0.9754127568677214
385.359473	45	-0.22302186945234576	-0.9745999105187451
386.948535	45	-0.2265944420026016	-0.9738036863318398
388.537573	45	-0.23000329616844414	-0.9730265099660236
390.126587	45	-0.23324623898349653	-0.9722719134489655
391.715601	45	-0.23632437029281425	-0.9715428508027213
393.30459	45	-0.23924422756617145	-0.9708398204296478
394.893579	45	-0.24201062928498643	-0.9701637666613301
396.482544	45	-0.24463936054303242	-0.9695128627024048
398.071484	45	-0.24713757732518724	-0.9688865343007252
399.660425	45	-0.24952097721014393	-0.9682821893988651
401.249341	45	-0.2518030218232896	-0.967697395168394
402.838232	45	-0.25399255212725225	-0.9671306668954615
404.4271	45	-0.2561054277254191	-0.9665785894776124
406.015967	45	-0.25814822809420557	-0.966039945419318
407.60481	45	-0.2601291931229999	-0.9655130271891172
409.193652	45	-0.2620524345194242	-0.9649971266462889
410.782471	45	-0.263925956189131	-0.9644904452170201
412.37124	45	-0.26575481323005096	-0.963991877902634
413.96001	45	-0.2675414108542993	-0.9635010525396854
415.548779	45	-0.26928739692902737	-0.9630177554901191
417.1375	45	-0.2709968662775181	-0.9625410745981354
418.726221	45	-0.2726733046473781	-0.9620702502258447
420.314893	45	-0.27430951913171087	-0.961607507107828
421.903564	45	-0.2759156607229768	-0.9611501882255534
423.492236	45	-0.27748806215869243	-0.9606994995002651
425.080859	45	-0.27903200317759336	-0.9602541167010104
426.669482	45	-0.2805407807331847	-0.9598161412206875
428.258057	45	-0.2820194539656982	-0.9593842881735933
