wavelength	mse
350.397168	3877.5620483169323
351.986475	3879.9390848808384
353.575781	3881.8812529307024
355.165088	3883.54212935679
356.75437	3884.8099713357005
358.343628	3885.642174315421
359.932886	3886.4773817638747
361.522144	3887.425614153132
363.111377	3888.5003587348124
364.70061	3889.8161244206854
366.289819	3890.9398229722788
367.879028	3891.9140371469043
369.468213	3892.711697675353
371.057397	3893.8075212902686
372.646582	3896.097219885357
374.235718	3899.7909607970823
375.824878	3903.907933670138
377.414014	3906.7037995473484
379.003125	3908.034164608964
380.592236	3908.9154259205357
382.181323	3910.5338904643445
383.77041	3912.4126748339118
385.359473	3913.826606717703
386.948535	3914.698026887382
388.537573	3915.978647995369
390.126587	3918.760726957415
391.715601	3922.4509524599653
393.30459	3926.470676686303
394.893579	3929.8665076394486
396.482544	3932.521333759762
398.071484	3934.0222632949904
399.660425	3934.9604645829886
401.249341	3935.8874436775654
402.838232	3937.245286468958
404.4271	3939.014178400645
406.015967	3941.0231141938443
407.60481	3943.0112464781664
409.193652	3944.6684991378775
410.782471	3946.0248966280374
412.37124	3947.032562631449
413.96001	3947.9718137833684
415.548779	3948.8739876401646
417.1375	3950.128905092172
418.726221	3951.935174227122
420.314893	3954.244599834535
421.903564	3957.0177449993193
423.492236	3960.3391022321916
425.080859	3964.019256080158
426.669482	3967.856048653322
428.258057	3971.6286371727615
429.846582	3975.0984402659888
431.435156	3977.9920238955965
433.023633	3980.7763029730972
434.612158	3983.35017969077
436.200586	3985.3964210816744
437.789063	3986.808052792377
439.377441	3987.801607422343
440.965869	3988.735282320909
442.554199	3989.7717692774363
444.142529	3990.994373516925
445.730859	3992.372005511562
447.319141	3993.915381522787
448.907373	3995.752972743042
450.495605	3997.780275788693
452.083789	3999.9850978246695
453.671973	4002.2469347001456
455.260107	4004.43290986517
456.848193	4006.585419985711
458.436279	4008.557931206764
460.024316	4010.232869480644
461.612305	4011.8138824085904
463.200293	4013.0862475282647
464.788232	4014.3062557792605
466.376172	4015.4983056302276
467.964014	4016.461490961347
469.551855	4017.4016507698157
471.139697	4018.3696510863238
472.727441	4019.6042530989957
474.315186	4020.9448102626498
475.902881	4022.402071520668
477.490527	4023.851908070492
479.078174	4026.097640809374
480.665771	4028.570939369864
482.25332	4031.1696709886523
483.84082	4033.98612617668
485.428271	4037.148312897145
487.015723	4040.427184313533
488.603125	4043.954607569161
490.19043	4047.5955784653556
491.777734	4051.226217322555
493.36499	4054.863022811103
494.952246	4058.4254512463326
496.539404	4061.8213138045858
498.126514	4065.0230016860537
499.713623	4068.2227314497527
501.300684	4071.3117503189574
502.887646	4074.165074008927
504.474609	4076.822584429234
506.061523	4079.312758363242
507.64834	4081.6193616199025
509.235156	4083.7475312844567
510.821924	4085.7479282305626
512.408643	4087.348590413042
513.995264	4088.959213589402
515.581885	4090.1342361982074
517.168457	4091.1996505701595
518.754932	4092.2592588879183
520.341406	4093.3444856481055
521.927783	4094.3324902388686
523.51416	4095.2906588302617
525.100439	4096.248486566116
526.68667	4097.211024385448
528.272852	4098.256110967948
529.858984	4099.285546000732
531.445068	4100.559637479429
533.031055	4101.949737551376
534.616992	4103.412852395817
536.202881	4105.062647672272
537.788721	4106.753710238276
539.374512	4108.677375932014
540.960254	4110.565316219125
542.545898	4112.498330288734
544.131494	4114.6423030006845
545.716992	4116.747339440294
547.30249	4119.054008754643
548.887891	4121.347717009414
550.473242	4123.621250131083
552.058496	4125.978489521007
553.643701	4128.431608859326
555.228857	4130.8926115249915
556.813965	4133.3533902324625
558.398975	4135.8074895811305
559.983936	4138.219035662267
561.568799	4140.664402927434
563.153613	4142.925963265809
564.73833	4145.173424139205
566.322998	4147.450178729562
567.907617	4149.67387727407
569.492139	4151.937543692461
571.076611	4153.982525159658
572.660986	4155.974694188086
574.245313	4157.927183863973
575.829541	4159.935725684202
577.413672	4161.936331356315
578.997803	4163.902026202556
580.581787	4165.320383665903
582.165723	4166.751162920421
583.749609	4168.201825652353
585.333398	4169.488967079978
586.91709	4170.770016825651
588.500684	4172.004015780448
590.084229	4173.178549080944
591.667725	4174.160539457435
593.251123	4175.141749535064
594.834424	4176.307321913179
596.417627	4177.307803501802
598.000781	4178.45380396053
599.583838	4179.450116806336
601.166797	4180.435217883154
602.749707	4181.406341787913
604.33252	4182.518608750105
605.915234	4183.499788541293
607.497852	4184.47422032399
609.08042	4185.51443315954
610.662891	4186.524785956941
612.245264	4187.680524203386
613.827539	4189.028019839042
615.409717	4190.141166762473
616.991846	4191.331171251101
618.573877	4192.723092632253
620.155762	4194.14580729882
621.737598	4195.384455953332
623.319385	4197.09052369864
624.901025	4198.642380946767
626.482568	4200.249159347171
628.064063	4201.914656935014
629.64541	4203.556683287247
631.226709	4205.140165953234
632.807861	4207.218797215986
634.388965	4209.464757665318
635.969971	4211.584660926185
637.55083	4213.59088024516
639.131641	4215.771746560269
640.712354	4217.8938678217755
642.29292	4220.010784686247
643.873438	4223.066885312991
645.453857	4226.057441636165
647.034131	4228.624322106387
648.614355	4231.326244422553
650.194434	4233.5674185612415
651.774414	4236.576850407742
653.354346	4239.593751859189
654.934131	4242.42621577173
656.513818	4245.150093719846
658.093408	4248.318048010438
659.6729	4251.373594686218
661.252246	4254.645488850184
662.831543	4257.826758671858
664.410693	4260.840838863263
665.989746	4263.871905441057
667.568701	4267.1816492768685
669.147559	4270.607514388422
670.72627	4274.013107685695
672.304883	4277.413474146463
673.883447	4280.720955430678
675.461816	4283.921417562152
677.040137	4287.344538171572
678.618311	4290.75716416015
680.196387	4294.106611841378
681.774365	4297.481908276565
683.352246	4300.845596569104
684.92998	4304.144996638736
686.507617	4307.5700856776275
688.085107	4310.95552812057
689.662549	4314.086414992787
691.239795	4317.390705108862
692.816992	4320.424382268941
694.394043	4323.746799547968
695.970996	4327.094315226829
697.547852	4330.350790876402
699.124561	4333.5354717506025
700.701172	4336.801493422913
702.277637	4339.536219336114
703.854004	4342.588907117446
705.430225	4345.562405940845
707.006396	4348.669533986013
708.582373	4351.583620747571
710.158301	4353.920527882584
711.734033	4356.875392827367
713.309717	4360.030108009761
714.885254	4362.4419579789665
716.460645	4365.235268163442
718.035938	4368.262206745606
719.611133	4370.63997978213
721.186182	4373.812217045568
722.761084	4376.9720292544025
724.335937	4379.400941335598
725.910596	4381.128119695623
727.485156	4383.752098364423
729.059619	4386.197827988403
730.633936	4388.468443455266
732.208105	4390.396119544064
733.782178	4392.417219019216
735.356152	4394.580148977971
736.92998	4397.182399749089
738.503662	4399.807897191237
740.077246	4401.683084682976
741.650684	4403.389074165298
743.224023	4405.611564426757
744.797217	4407.463095071908
746.370264	4409.309947263052
747.943213	4410.6334142486185
749.516016	4412.1237835692355
751.088721	4413.715602674474
752.661279	4414.904786075454
754.23374	4416.760338012523
755.806055	4418.073321328374
757.378223	4419.469687861039
758.950293	4420.852910748761
760.522217	4422.899786891973
762.093994	4424.4212763703545
763.665674	4425.703281519242
765.237256	4426.856292645643
766.808643	4427.98849941201
768.379932	4429.404618671344
769.951123	4430.623710401988
771.522119	4432.123574522574
773.093018	4433.283444103981
774.663818	4434.322233380386
776.234473	4435.310941031792
777.80498	4436.292804363593
779.375342	4437.276372110039
780.945605	4438.59314742475
782.515723	4439.844225354721
784.085742	4441.14929968152
785.655615	4442.131586582459
787.225342	4443.19910940673
788.794971	4444.181897151086
790.364453	4445.2816165574395
791.933789	4447.104229876672
793.503027	4448.172052123207
795.07207	4449.157502535785
796.641064	4450.366910948068
798.209863	4451.386051360914
799.778564	4452.368709066682
801.347168	4453.563303549133
802.915625	4454.623179528661
804.483936	4456.025984318043
806.0521	4457.065196845456
807.620166	4458.268420099211
809.188086	4459.288471150646
810.755859	4460.345526134018
812.323535	4461.643836647089
813.891064	4462.882957003697
815.458496	4464.004958028893
817.025781	4465.016647398278
818.59292	4466.0033070411455
820.159961	4467.281798461055
821.726855	4469.012496295709
823.293555	4470.0366650803635
824.860254	4471.020734188768
826.426758	4472.185546131007
827.993066	4473.223090133323
829.559375	4474.482649373436
831.125488	4475.594060671185
832.691504	4477.114219014521
834.257324	4478.122591549998
835.823145	4479.279526910635
837.38877	4481.034855409626
838.954199	4482.048425844344
840.519531	4483.033501154386
842.084863	4484.2707402944125
843.649902	4485.775536159052
845.214941	4487.119944862973
846.779785	4488.344150980678
848.344531	4489.478471934182
849.90918	4490.463675172717
851.473633	4491.989456449224
853.037988	4493.092012973407
854.602246	4494.214054536216
856.166406	4496.121718364631
857.730371	4497.178683328171
859.294238	4498.7408012254
860.858008	4499.7968507281785
862.421582	4501.542624043963
863.985156	4502.876483812083
865.548535	4503.862879867968
867.111816	4505.292782700061
868.675	4507.744216615618
870.237988	4510.089818358337
871.800879	4511.832333646722
873.363672	4513.699837706305
874.926367	4515.341675786602
876.488965	4516.405282005269
878.051367	4517.657767451692
879.613672	4519.650983807372
881.175879	4521.98026658811
882.737988	4524.004998988501
884.3	4525.3091179402445
885.861914	4526.452367196009
887.423633	4528.37087281591
888.985254	4530.8118099057
890.546777	4533.279136285738
892.108203	4535.901089073561
893.669531	4537.8363279015075
895.230762	4539.114309314125
896.791797	4540.285506211177
898.352832	4542.367904796879
899.913672	4544.553558965872
901.474414	4546.064566750273
903.035059	4548.179826878718
904.595605	4550.570850332368
906.156055	4553.206031349713
907.716406	4555.4090882987075
909.27666	4557.608719522247
910.836816	4560.248747237124
912.396777	4562.818480121174
913.956738	4565.104356244259
915.516602	4566.444415026023
917.07627	4568.357005260052
918.635938	4570.462501795626
920.195508	4572.9191292829555
921.754883	4574.95122521905
923.314258	4576.337699102145
924.873437	4578.318267041125
926.432617	4580.488727872194
927.991699	4582.978577184361
929.550684	4584.729990855046
931.109473	4586.411487952343
932.668262	4588.4947233384355
934.226953	4591.157973203484
935.785547	4593.797296549762
937.344043	4596.232232405577
938.902539	4598.344288694411
940.46084	4600.931689303913
942.019141	4603.366124191012
943.577246	4605.921851224317
945.135352	4607.754756220711
946.693359	4610.40044620263
948.25127	4612.647663169689
949.809082	4615.022320455575
951.366895	4617.1022613844725
952.924609	4619.640266797748
954.482227	4622.2330332209485
956.039746	4624.903742937234
957.597168	4627.451317499396
959.15459	4629.405449755577
960.711914	4631.220640968956
962.269141	4633.4330576104285
963.826367	4636.072769895974
965.383398	4638.626553060713
966.940527	4641.293846696188
968.497461	4643.36560880646
970.054395	4644.924716343224
