wavelength(nm)	AOI	Psi	Delta
210.487427	65.000000	40.253262	211.13109
212.078271	65.000000	45.271709	204.37337
213.669067	65.000000	49.201519	159.70879
215.259814	65.000000	45.369881	114.24892
216.850537	65.000000	41.192657	106.16778
218.441235	65.000000	38.002171	115.80143
220.031885	65.000000	35.61935	138.14967
221.62251	65.000000	34.563107	166.42766
223.213086	65.000000	35.739353	195.10428
224.803638	65.000000	38.811443	212.91484
226.394165	65.000000	43.18605	214.98892
227.984668	65.000000	48.761887	193.54999
229.575122	65.000000	50.236542	142.87517
231.165576	65.000000	45.363014	111.04525
232.755981	65.000000	41.116184	103.95147
234.346362	65.000000	38.001656	110.59322
235.936694	65.000000	35.489296	125.98217
237.527026	65.000000	33.753834	148.14278
239.117334	65.000000	33.401012	173.78757
240.707593	65.000000	34.785805	197.77844
242.297852	65.000000	37.621349	214.58113
243.888062	65.000000	41.415623	221.43062
245.478271	65.000000	46.160282	214.19678
247.068433	65.000000	51.341068	184.4624
248.658594	65.000000	51.100967	136.08188
250.24873	65.000000	46.367599	109.40299
251.838843	65.000000	42.823364	101.9274
253.428906	65.000000	40.132862	105.07185
255.018994	65.000000	38.15366	115.89091
256.609033	65.000000	36.778599	132.5696
258.199048	65.000000	35.862732	152.65898
259.789063	65.000000	35.894833	174.22621
261.379053	65.000000	36.704823	194.62177
262.969019	65.000000	38.331108	211.54424
264.558984	65.000000	40.495476	222.07976
266.148901	65.000000	43.257935	224.37248
267.738818	65.000000	46.591408	215.71867
269.328735	65.000000	50.017769	191.83304
270.918604	65.000000	50.715057	153.23177
272.508472	65.000000	47.696262	122.85863
274.098315	65.000000	44.648094	108.74609
275.688159	65.000000	42.262665	105.47982
277.277979	65.000000	40.349323	109.44415
278.867798	65.000000	38.79089	118.74016
280.457593	65.000000	37.436859	132.17633
282.047363	65.000000	36.352779	148.17888
283.637134	65.000000	35.721443	166.14555
285.22688	65.000000	35.686657	184.55252
286.816602	65.000000	36.203087	201.53995
288.406323	65.000000	37.187935	215.81656
289.996045	65.000000	38.682003	226.6568
291.585742	65.000000	40.668106	232.45013
293.175439	65.000000	43.30418	232.68027
294.765112	65.000000	46.801918	226.07347
296.354761	65.000000	51.203629	209.42456
297.944409	65.000000	54.703938	179.52014
299.534058	65.000000	53.248928	144.39346
301.123682	65.000000	48.844917	120.87392
302.713306	65.000000	44.688797	109.71719
304.302905	65.000000	41.515545	106.09734
305.892505	65.000000	38.878006	107.31973
307.48208	65.000000	36.718147	111.96194
309.071655	65.000000	34.868904	119.70242
310.66123	65.000000	33.136055	129.8232
312.250781	65.000000	31.771511	141.5831
313.840332	65.000000	30.718023	154.92348
315.429858	65.000000	30.120251	169.36198
317.019385	65.000000	30.134941	183.81154
318.608887	65.000000	30.638624	197.95374
320.198413	65.000000	31.639374	210.34824
321.787891	65.000000	32.979275	220.91841
323.377393	65.000000	34.699444	229.35782
324.96687	65.000000	36.716084	235.20708
326.556323	65.000000	39.169327	237.90457
328.145776	65.000000	42.163673	237.74658
329.735229	65.000000	45.643524	233.53484
331.324658	65.000000	49.952042	223.98286
332.914087	65.000000	54.771248	206.20914
334.503516	65.000000	57.825882	177.46355
336.09292	65.000000	55.896935	145.88371
337.682324	65.000000	51.356129	124.89638
339.271704	65.000000	47.032944	113.59039
340.861084	65.000000	43.575676	108.08301
342.450464	65.000000	40.855057	105.89993
344.039819	65.000000	38.719494	106.33006
345.629175	65.000000	36.840942	109.09639
347.218506	65.000000	35.216236	113.73188
348.807861	65.000000	33.951122	119.44752
350.397168	65.000000	32.698391	127.08682
351.986475	65.000000	31.452127	137.20514
353.575781	65.000000	30.703577	147.17409
355.165088	65.000000	30.124945	157.34441
356.75437	65.000000	29.885649	168.56128
358.343628	65.000000	30.045162	179.92116
359.932886	65.000000	30.439714	191.6795
361.522144	65.000000	31.111498	202.97324
363.111377	65.000000	32.166569	212.95312
364.70061	65.000000	33.343784	221.32686
366.289819	65.000000	34.585594	228.75989
367.879028	65.000000	35.92115	234.66408
369.468213	65.000000	37.450016	239.45943
371.057397	65.000000	39.194954	242.08694
