wavelength	aoi	psi	delta
350.397168	65	30.172171	156.73749
351.986475	65	30.314129	157.03807
353.575781	65	30.392529	157.36586
355.165088	65	30.44766	157.59084
356.75437	65	30.537422	158.11993
358.343628	65	30.709492	158.6631
359.932886	65	30.871815	159.24132
361.522144	65	30.949358	159.9928
363.111377	65	31.013128	160.96719
364.70061	65	31.119095	162.08978
366.289819	65	31.036402	163.15643
367.879028	65	30.964729	164.17209
369.468213	65	30.763262	165.20386
371.057397	65	30.593506	166.35448
372.646582	65	30.337904	167.16542
374.235718	65	30.076614	167.89592
375.824878	65	29.752342	168.82661
377.414014	65	29.444731	169.39096
379.003125	65	29.165054	169.9473
380.592236	65	28.828146	170.39154
382.181323	65	28.488728	170.80362
383.77041	65	28.272961	171.14456
385.359473	65	27.959602	171.60429
386.948535	65	27.679646	171.78854
388.537573	65	27.391779	172.0329
390.126587	65	27.089788	172.34947
391.715601	65	26.894291	172.53317
393.30459	65	26.734346	172.55942
394.893579	65	26.445194	172.75505
396.482544	65	26.300632	172.99933
398.071484	65	26.076006	173.01125
399.660425	65	25.881443	173.20277
401.249341	65	25.715569	173.19824
402.838232	65	25.510859	173.2812
404.4271	65	25.355375	173.35439
406.015967	65	25.221498	173.44313
407.60481	65	25.019093	173.55968
409.193652	65	24.854908	173.62746
410.782471	65	24.741768	173.59515
412.37124	65	24.587761	173.54514
413.96001	65	24.535484	173.72134
415.548779	65	24.444656	173.92308
417.1375	65	24.247139	173.83371
418.726221	65	24.112408	174.02522
420.314893	65	24.012466	173.98987
421.903564	65	23.922731	174.10062
423.492236	65	23.804077	174.14639
425.080859	65	23.693968	174.07877
426.669482	65	23.575689	174.19876
428.258057	65	23.483471	174.29684
429.846582	65	23.365778	174.55548
431.435156	65	23.231756	174.37683
433.023633	65	23.210659	174.51405
434.612158	65	23.170132	174.68053
436.200586	65	23.068108	174.73743
437.789063	65	22.92728	174.55098
439.377441	65	22.772421	174.70285
440.965869	65	22.642033	174.7261
442.554199	65	22.554298	174.77599
444.142529	65	22.468744	174.83394
445.730859	65	22.412409	174.75558
447.319141	65	22.356865	174.97165
448.907373	65	22.256762	174.94431
450.495605	65	22.182611	174.96381
452.083789	65	22.081671	175.09882
453.671973	65	21.980415	174.9839
455.260107	65	21.878296	175.06671
456.848193	65	21.853779	175.09933
458.436279	65	21.766851	175.05458
460.024316	65	21.659176	175.12997
461.612305	65	21.626863	175.27612
463.200293	65	21.519213	175.32759
464.788232	65	21.497957	175.30214
466.376172	65	21.485636	175.35971
467.964014	65	21.349232	175.48917
469.551855	65	21.294626	175.45778
471.139697	65	21.233452	175.46812
472.727441	65	21.098993	175.49532
474.315186	65	21.065739	175.43788
475.902881	65	21.033245	175.44385
477.490527	65	21.034857	175.46429
479.078174	65	20.858711	175.43817
480.665771	65	20.81234	175.49017
482.25332	65	20.786222	175.57596
483.84082	65	20.739788	175.49767
485.428271	65	20.658066	175.59871
487.015723	65	20.625263	175.6665
488.603125	65	20.534582	175.61748
490.19043	65	20.436743	175.64995
491.777734	65	20.452379	175.70029
493.36499	65	20.423698	175.71429
494.952246	65	20.332243	175.78532
496.539404	65	20.25865	175.76872
498.126514	65	20.19949	175.75673
499.713623	65	20.199722	175.71695
501.300684	65	20.171228	175.78075
502.887646	65	20.115993	175.75006
504.474609	65	20.073919	175.89188
506.061523	65	20.039406	175.83032
507.64834	65	20.002127	175.77878
509.235156	65	19.965841	175.86621
510.821924	65	19.939535	175.94385
512.408643	65	19.85055	175.90787
513.995264	65	19.853228	175.92221
515.581885	65	19.726595	175.89488
517.168457	65	19.677809	175.89159
518.754932	65	19.674767	176.06688
520.341406	65	19.688274	175.9516
521.927783	65	19.623909	175.92073
523.51416	65	19.552282	175.94951
525.100439	65	19.561398	176.06979
526.68667	65	19.538733	175.98624
528.272852	65	19.455101	176.15977
529.858984	65	19.466166	176.01375
531.445068	65	19.349993	176.00467
533.031055	65	19.309334	176.14452
534.616992	65	19.285601	176.10735
536.202881	65	19.227077	176.15222
537.788721	65	19.214788	176.17789
539.374512	65	19.142002	176.18658
540.960254	65	19.154142	176.13271
542.545898	65	19.140135	175.97118
544.131494	65	19.06673	176.03867
545.716992	65	19.082129	176.22203
547.30249	65	18.996515	176.14006
548.887891	65	19.004206	176.16351
550.473242	65	19.015009	176.27209
552.058496	65	18.971075	176.22632
553.643701	65	18.87904	176.27391
555.228857	65	18.853041	176.3528
556.813965	65	18.831451	176.17595
558.398975	65	18.809828	176.29207
559.983936	65	18.759651	176.28978
561.568799	65	18.79126	176.27505
563.153613	65	18.67182	176.34296
564.73833	65	18.664867	176.38805
566.322998	65	18.677114	176.22455
567.907617	65	18.653408	176.27007
569.492139	65	18.66972	176.37288
571.076611	65	18.586229	176.32747
572.660986	65	18.568161	176.35873
