wavelength	aoi	alpha	beta
350.397168	65	0.7936070564977126	0.7936070564977126
351.986475	65	0.5914039105633163	0.5914039105633163
353.575781	65	0.458226395595811	0.458226395595811
355.165088	65	0.3576374085511576	0.3576374085511576
356.75437	65	0.18513844899035745	0.18513844899035745
358.343628	65	-0.15727159542599362	-0.15727159542599362
359.932886	65	-0.46406010827451677	-0.46406010827451677
361.522144	65	-0.5953163053991353	-0.5953163053991353
363.111377	65	-0.6926807238556362	-0.6926807238556362
364.70061	65	-0.8288971184722255	-0.8288971184722255
366.289819	65	-0.7254907977530667	-0.7254907977530667
367.879028	65	-0.6197320629849656	-0.6197320629849656
369.468213	65	-0.26236018383771986	-0.26236018383771986
371.057397	65	0.07397710362700109	0.07397710362700109
372.646582	65	0.5524067469582843	0.5524067469582843
374.235718	65	0.8947311015805964	0.8947311015805964
375.824878	65	0.9828300572110468	0.9828300572110468
377.414014	65	0.6961337371794385	0.6961337371794385
379.003125	65	0.20908961909307103	0.20908961909307103
380.592236	65	-0.44678822909272864	-0.44678822909272864
382.181323	65	-0.9094702314886839	-0.9094702314886839
383.77041	65	-0.9999962303907043	-0.9999962303907043
385.359473	65	-0.8083433123888542	-0.8083433123888542
386.948535	65	-0.3722393205690909	-0.3722393205690909
388.537573	65	0.19309293912236938	0.19309293912236938
390.126587	65	0.7161674694179081	0.7161674694179081
391.715601	65	0.9281046454567613	0.9281046454567613
393.30459	65	0.9981022800240645	0.9981022800240645
394.893579	65	0.869460523141756	0.869460523141756
396.482544	65	0.6925263334038807	0.6925263334038807
398.071484	65	0.3105135267832117	0.3105135267832117
399.660425	65	-0.07332691359315034	-0.07332691359315034
401.249341	65	-0.39414815159032635	-0.39414815159032635
402.838232	65	-0.7274242842028246	-0.7274242842028246
404.4271	65	-0.9024954672888206	-0.9024954672888206
406.015967	65	-0.9842858004528884	-0.9842858004528884
407.60481	65	-0.9742791828619086	-0.9742791828619086
409.193652	65	-0.8495490662664652	-0.8495490662664652
410.782471	65	-0.7095432887036859	-0.7095432887036859
412.37124	65	-0.46252042601461335	-0.46252042601461335
413.96001	65	-0.36746501704002676	-0.36746501704002676
415.548779	65	-0.1933994814156282	-0.1933994814156282
417.1375	65	0.19906930943913514	0.19906930943913514
418.726221	65	0.45277049415881143	0.45277049415881143
420.314893	65	0.6207932505387224	0.6207932505387224
421.903564	65	0.7507681183664987	0.7507681183664987
423.492236	65	0.8850177474971861	0.8850177474971861
425.080859	65	0.965341871918501	0.965341871918501
426.669482	65	0.9996222233243902	0.9996222233243902
428.258057	65	0.9877089545855424	0.9877089545855424
429.846582	65	0.9240192566546245	0.9240192566546245
431.435156	65	0.7897605372175377	0.7897605372175377
433.023633	65	0.7631828581859522	0.7631828581859522
434.612158	65	0.7083589173850524	0.7083589173850524
436.200586	65	0.5506331347115143	0.5506331347115143
437.789063	65	0.2969209112574533	0.2969209112574533
439.377441	65	-0.008251383416105533	-0.008251383416105533
440.965869	65	-0.2657940213858436	-0.2657940213858436
442.554199	65	-0.4300042433959159	-0.4300042433959159
444.142529	65	-0.5774529540767579	-0.5774529540767579
445.730859	65	-0.6655835736555229	-0.6655835736555229
447.319141	65	-0.744218113743623	-0.744218113743623
448.907373	65	-0.862186207889278	-0.862186207889278
450.495605	65	-0.9275757782415183	-0.9275757782415183
452.083789	65	-0.9836560967819578	-0.9836560967819578
453.671973	65	-0.9997695895786235	-0.9997695895786235
455.260107	65	-0.9746365412215788	-0.9746365412215788
456.848193	65	-0.9624959978331726	-0.9624959978331726
458.436279	65	-0.9010572748081265	-0.9010572748081265
460.024316	65	-0.7875672518709722	-0.7875672518709722
461.612305	65	-0.7461264978489447	-0.7461264978489447
463.200293	65	-0.586657434872687	-0.586657434872687
464.788232	65	-0.5517100454674033	-0.5517100454674033
466.376172	65	-0.5309923121681966	-0.5309923121681966
467.964014	65	-0.2830408935268773	-0.2830408935268773
469.551855	65	-0.17681663181656282	-0.17681663181656282
471.139697	65	-0.055374837435236926	-0.055374837435236926
472.727441	65	0.21189621112011517	0.21189621112011517
474.315186	65	0.2763775831046092	0.2763775831046092
475.902881	65	0.33820686292257696	0.33820686292257696
477.490527	65	0.3351710950315808	0.3351710950315808
479.078174	65	0.6396776548766502	0.6396776548766502
480.665771	65	0.7081120378479362	0.7081120378479362
482.25332	65	0.7440132535764904	0.7440132535764904
483.84082	65	0.8027691800702444	0.8027691800702444
485.428271	65	0.8890971266556196	0.8890971266556196
487.015723	65	0.9171919586426108	0.9171919586426108
488.603125	65	0.9740164381634673	0.9740164381634673
490.19043	65	0.9994627346355303	0.9994627346355303
491.777734	65	0.997949275650684	0.997949275650684
493.36499	65	0.999977611975112	0.999977611975112
494.952246	65	0.9845136577435617	0.9845136577435617
496.539404	65	0.9481589782464354	0.9481589782464354
498.126514	65	0.9040157870809845	0.9040157870809845
499.713623	65	0.9042140493278656	0.9042140493278656
501.300684	65	0.8784209307819537	0.8784209307819537
502.887646	65	0.8203814761701372	0.8203814761701372
504.474609	65	0.7694182171982488	0.7694182171982488
506.061523	65	0.7235309319647382	0.7235309319647382
507.64834	65	0.6701017288582785	0.6701017288582785
509.235156	65	0.6145171986817023	0.6145171986817023
510.821924	65	0.5721802546784628	0.5721802546784628
512.408643	65	0.4179538388642237	0.4179538388642237
513.995264	65	0.4228135767766356	0.4228135767766356
515.581885	65	0.18225741139172474	0.18225741139172474
517.168457	65	0.08560492876457607	0.08560492876457607
518.754932	65	0.07954171521645129	0.07954171521645129
520.341406	65	0.10643782604860244	0.10643782604860244
521.927783	65	-0.022088373338912223	-0.022088373338912223
523.51416	65	-0.16459181673520049	-0.16459181673520049
525.100439	65	-0.1465821104103349	-0.1465821104103349
526.68667	65	-0.19125655055494414	-0.19125655055494414
528.272852	65	-0.3519992233889422	-0.3519992233889422
529.858984	65	-0.3312010376071051	-0.3312010376071051
531.445068	65	-0.5395665218393043	-0.5395665218393043
533.031055	65	-0.6061732192311071	-0.6061732192311071
534.616992	65	-0.6432275724400569	-0.6432275724400569
536.202881	65	-0.7282426528742679	-0.7282426528742679
537.788721	65	-0.7448647899277077	-0.7448647899277077
539.374512	65	-0.8337716319196252	-0.8337716319196252
540.960254	65	-0.8201219812902117	-0.8201219812902117
542.545898	65	-0.8358273913558979	-0.8358273913558979
544.131494	65	-0.9071445430685487	-0.9071445430685487
545.716992	65	-0.8937560159634864	-0.8937560159634864
547.30249	65	-0.957116117240758	-0.957116117240758
548.887891	65	-0.9525468298261213	-0.9525468298261213
550.473242	65	-0.9457483213279184	-0.9457483213279184
552.058496	65	-0.9706113151687039	-0.9706113151687039
553.643701	65	-0.9982618819771324	-0.9982618819771324
555.228857	65	-0.9999757085545843	-0.9999757085545843
556.813965	65	-0.9993444952590828	-0.9993444952590828
558.398975	65	-0.9968450448545483	-0.9968450448545483
559.983936	65	-0.9838777187129082	-0.9838777187129082
561.568799	65	-0.9932108670565349	-0.9932108670565349
563.153613	65	-0.9374823763409081	-0.9374823763409081
564.73833	65	-0.9325521466935212	-0.9325521466935212
566.322998	65	-0.9411147301429492	-0.9411147301429492
567.907617	65	-0.9240337701346839	-0.9240337701346839
569.492139	65	-0.9360123745121781	-0.9360123745121781
571.076611	65	-0.864493830927256	-0.864493830927256
572.660986	65	-0.8457698896124459	-0.8457698896124459
574.245313	65	-0.8312588688836153	-0.8312588688836153
575.829541	65	-0.8504344063065545	-0.8504344063065545
577.413672	65	-0.8471712563951059	-0.8471712563951059
578.997803	65	-0.8344172021465553	-0.8344172021465553
580.581787	65	-0.6022499190646408	-0.6022499190646408
582.165723	65	-0.608224994383797	-0.608224994383797
583.749609	65	-0.6179294654254632	-0.6179294654254632
585.333398	65	-0.5256104205921613	-0.5256104205921613
586.91709	65	-0.521251249987428	-0.521251249987428
588.500684	65	-0.4897530482133407	-0.4897530482133407
590.084229	65	-0.4458059966871445	-0.4458059966871445
591.667725	65	-0.205472499328673	-0.205472499328673
593.251123	65	-0.2020185050811514	-0.2020185050811514
594.834424	65	-0.4371185922207178	-0.4371185922207178
596.417627	65	-0.24794698000203594	-0.24794698000203594
598.000781	65	-0.42001920642617535	-0.42001920642617535
599.583838	65	-0.00772040701991347	-0.00772040701991347
601.166797	65	-0.03558297055256313	-0.03558297055256313
602.749707	65	-0.10073931023288675	-0.10073931023288675
604.33252	65	0.14470568098770253	0.14470568098770253
605.915234	65	-0.048441518361838506	-0.048441518361838506
607.497852	65	-0.07798721346046797	-0.07798721346046797
609.08042	65	0.06558241282053945	0.06558241282053945
610.662891	65	0.01991220019744274	0.01991220019744274
612.245264	65	0.1838575930492442	0.1838575930492442
613.827539	65	0.31412562230321517	0.31412562230321517
615.409717	65	0.14687821686027552	0.14687821686027552
616.991846	65	0.2115137734622543	0.2115137734622543
618.573877	65	0.3397673459841341	0.3397673459841341
620.155762	65	0.35652097644073183	0.35652097644073183
621.737598	65	0.24714962700039975	0.24714962700039975
623.319385	65	0.4881698427475929	0.4881698427475929
624.901025	65	0.42102541184525993	0.42102541184525993
626.482568	65	0.44621863319320626	0.44621863319320626
628.064063	65	0.47196430024524644	0.47196430024524644
629.64541	65	0.46215833810229257	0.46215833810229257
631.226709	65	0.4365222207199277	0.4365222207199277
632.807861	65	0.6278295308789161	0.6278295308789161
634.388965	65	0.6823756023858252	0.6823756023858252
635.969971	65	0.6420947015021914	0.6420947015021914
637.55083	65	0.6038302096347603	0.6038302096347603
639.131641	65	0.6624836349436046	0.6624836349436046
640.712354	65	0.6435914606452069	0.6435914606452069
642.29292	65	0.6421207663922244	0.6421207663922244
643.873438	65	0.9067592598986823	0.9067592598986823
645.453857	65	0.890831257247773	0.890831257247773
647.034131	65	0.7793736420264039	0.7793736420264039
648.614355	65	0.8166875803643286	0.8166875803643286
650.194434	65	0.6833895751556704	0.6833895751556704
651.774414	65	0.8965275358935691	0.8965275358935691
653.354346	65	0.8986242394291934	0.8986242394291934
654.934131	65	0.8521506819650231	0.8521506819650231
656.513818	65	0.8237962767284354	0.8237962767284354
658.093408	65	0.9360605966775166	0.9360605966775166
659.6729	65	0.9091120942622141	0.9091120942622141
661.252246	65	0.9610717939765513	0.9610717939765513
662.831543	65	0.9399519569938145	0.9399519569938145
664.410693	65	0.8996029681666379	0.8996029681666379
665.989746	65	0.9040395914589315	0.9040395914589315
667.568701	65	0.9708177607062352	0.9708177607062352
669.147559	65	0.9975956155458214	0.9975956155458214
670.72627	65	0.9932370194675958	0.9932370194675958
672.304883	65	0.9922818681379355	0.9922818681379355
673.883447	65	0.9712145215114035	0.9712145215114035
675.461816	65	0.9463604819247956	0.9463604819247956
677.040137	65	0.9981117327272939	0.9981117327272939
678.618311	65	0.9959589492788608	0.9959589492788608
680.196387	65	0.9817748429982646	0.9817748429982646
681.774365	65	0.98791110064647	0.98791110064647
683.352246	65	0.9854692930157014	0.9854692930157014
684.92998	65	0.9708675311280712	0.9708675311280712
686.507617	65	0.9998576912517542	0.9998576912517542
688.085107	65	0.9910761024876331	0.9910761024876331
689.662549	65	0.9316679562313309	0.9316679562313309
691.239795	65	0.9728432595227039	0.9728432595227039
692.816992	65	0.9083857602422104	0.9083857602422104
694.394043	65	0.9774515898381556	0.9774515898381556
695.970996	65	0.9834399830379441	0.9834399830379441
697.547852	65	0.9625269086702514	0.9625269086702514
699.124561	65	0.9457726756016894	0.9457726756016894
700.701172	65	0.9651550200473968	0.9651550200473968
702.277637	65	0.8329696256305378	0.8329696256305378
703.854004	65	0.9144655176088842	0.9144655176088842
705.430225	65	0.8950303012289524	0.8950303012289524
707.006396	65	0.9281276156083158	0.9281276156083158
708.582373	65	0.8804266157324024	0.8804266157324024
710.158301	65	0.7209797404011374	0.7209797404011374
711.734033	65	0.8911207692520644	0.8911207692520644
713.309717	65	0.9403641210900864	0.9403641210900864
714.885254	65	0.7439613441726195	0.7439613441726195
716.460645	65	0.8501705505705826	0.8501705505705826
718.035938	65	0.9098220806426603	0.9098220806426603
719.611133	65	0.7343734620469098	0.7343734620469098
721.186182	65	0.9454760380401909	0.9454760380401909
722.761084	65	0.9426815460171752	0.9426815460171752
724.335937	65	0.7500509670647614	0.7500509670647614
725.910596	65	0.5103443273880208	0.5103443273880208
727.485156	65	0.8058817054776193	0.8058817054776193
729.059619	65	0.7555027304491522	0.7555027304491522
730.633936	65	0.7029090354782471	0.7029090354782471
732.208105	65	0.5881270957067629	0.5881270957067629
733.782178	65	0.6214194530213136	0.6214194530213136
735.356152	65	0.6691594781224055	0.6691594781224055
736.92998	65	0.8008882728241237	0.8008882728241237
738.503662	65	0.8074868111380661	0.8074868111380661
740.077246	65	0.5695918040682596	0.5695918040682596
741.650684	65	0.5031994484249155	0.5031994484249155
743.224023	65	0.6890933113982295	0.6890933113982295
744.797217	65	0.5611587919540909	0.5611587919540909
746.370264	65	0.5595403799400506	0.5595403799400506
747.943213	65	0.31560781267417054	0.31560781267417054
749.516016	65	0.40656499608002905	0.40656499608002905
751.088721	65	0.4546695279489743	0.4546695279489743
752.661279	65	0.22486173732641476	0.22486173732641476
754.23374	65	0.5635782604237557	0.5635782604237557
755.806055	65	0.3098898121781382	0.3098898121781382
757.378223	65	0.35832126483701887	0.35832126483701887
758.950293	65	0.3511838032260716	0.3511838032260716
760.522217	65	0.6329232221663957	0.6329232221663957
762.093994	65	0.42286550880460266	0.42286550880460266
763.665674	65	0.2910547536504535	0.2910547536504535
765.237256	65	0.1964314576327212	0.1964314576327212
766.808643	65	0.17821010472040805	0.17821010472040805
768.379932	65	0.3699703791313378	0.3699703791313378
769.951123	65	0.24859276125759566	0.24859276125759566
771.522119	65	0.4131689050288915	0.4131689050288915
773.093018	65	0.20277908439361456	0.20277908439361456
774.663818	65	0.07334521724913784	0.07334521724913784
776.234473	65	-0.03661867392081617	-0.03661867392081617
777.80498	65	-0.097014036332034	-0.097014036332034
779.375342	65	-0.12383217648377315	-0.12383217648377315
780.945605	65	0.31421260428364833	0.31421260428364833
782.515723	65	0.27199456742979305	0.27199456742979305
784.085742	65	0.30723785756709954	0.30723785756709954
785.655615	65	-0.10275915134479806	-0.10275915134479806
787.225342	65	-0.30086243734713547	-0.30086243734713547
788.794971	65	-0.07795568870321866	-0.07795568870321866
790.364453	65	0.14826053620031857	0.14826053620031857
791.933789	65	0.554297863185573	0.554297863185573
793.503027	65	0.11291182997545328	0.11291182997545328
795.07207	65	-0.13202031816076232	-0.13202031816076232
796.641064	65	0.24337807717708898	0.24337807717708898
798.209863	65	0.04189487210816795	0.04189487210816795
799.778564	65	-0.09492771156168141	-0.09492771156168141
801.347168	65	-0.41848161793064154	-0.41848161793064154
802.915625	65	-0.2892094210286686	-0.2892094210286686
804.483936	65	0.36555326514092334	0.36555326514092334
806.0521	65	-0.26041196268651795	-0.26041196268651795
807.620166	65	-0.4243200592566462	-0.4243200592566462
809.188086	65	-0.22846127388153029	-0.22846127388153029
810.755859	65	0.10025443108003541	0.10025443108003541
812.323535	65	0.3050044836990363	0.3050044836990363
813.891064	65	-0.4496441135201302	-0.4496441135201302
815.458496	65	-0.35519892722985796	-0.35519892722985796
817.025781	65	-0.21091103147242166	-0.21091103147242166
818.59292	65	-0.05027765622647526	-0.05027765622647526
820.159961	65	-0.47550928343502546	-0.47550928343502546
821.726855	65	-0.7024876392746878	-0.7024876392746878
823.293555	65	-0.2338240002889496	-0.2338240002889496
824.860254	65	-0.07349453854362542	-0.07349453854362542
826.426758	65	-0.3918824979707796	-0.3918824979707796
827.993066	65	-0.2549721128167344	-0.2549721128167344
829.559375	65	-0.4620034487008179	-0.4620034487008179
831.125488	65	-0.3431710214236615	-0.3431710214236615
832.691504	65	-0.6082062446792884	-0.6082062446792884
834.257324	65	0.020813634244177197	0.020813634244177197
835.823145	65	-0.3842717361216771	-0.3842717361216771
837.38877	65	-0.7109912712911807	-0.7109912712911807
838.954199	65	-0.2116304181553116	-0.2116304181553116
840.519531	65	-0.11370044384627163	-0.11370044384627163
842.084863	65	-0.44540706386411905	-0.44540706386411905
843.649902	65	-0.5997117641926955	-0.5997117641926955
845.214941	65	-0.5137747329466691	-0.5137747329466691
846.779785	65	-0.43566492654730377	-0.43566492654730377
848.344531	65	-0.36307395288916827	-0.36307395288916827
849.90918	65	-0.1114985370648404	-0.1114985370648404
851.473633	65	-0.6091742022405089	-0.6091742022405089
853.037988	65	-0.3318922884370531	-0.3318922884370531
854.602246	65	-0.3510018960080069	-0.3510018960080069
856.166406	65	-0.7679118605717701	-0.7679118605717701
857.730371	65	-0.2788293155164519	-0.2788293155164519
859.294238	65	-0.6256596619435403	-0.6256596619435403
860.858008	65	-0.2772731984230623	-0.2772731984230623
862.421582	65	-0.7049402232700293	-0.7049402232700293
863.985156	65	-0.5057946300883911	-0.5057946300883911
865.548535	65	-0.11780069368989723	-0.11780069368989723
867.111816	65	-0.5595036844544391	-0.5595036844544391
868.675	65	-0.9439274962882348	-0.9439274962882348
870.237988	65	-0.9123307840968652	-0.9123307840968652
871.800879	65	-0.7028618941432224	-0.7028618941432224
873.363672	65	-0.7515620588685495	-0.7515620588685495
874.926367	65	-0.6602674851966449	-0.6602674851966449
876.488965	65	-0.28543555854847646	-0.28543555854847646
878.051367	65	-0.45268198193498754	-0.45268198193498754
879.613672	65	-0.7968242739835745	-0.7968242739835745
881.175879	65	-0.9065370713447978	-0.9065370713447978
882.737988	65	-0.8075892770599556	-0.8075892770599556
884.3	65	-0.48588099715351285	-0.48588099715351285
885.861914	65	-0.36756266273652893	-0.36756266273652893
887.423633	65	-0.7693997140615259	-0.7693997140615259
888.985254	65	-0.9393159627105798	-0.9393159627105798
890.546777	65	-0.9469020638519783	-0.9469020638519783
892.108203	65	-0.9905801906987972	-0.9905801906987972
893.669531	65	-0.7750352418150364	-0.7750352418150364
895.230762	65	-0.46828151713608995	-0.46828151713608995
896.791797	65	-0.3904744164691417	-0.3904744164691417
898.352832	65	-0.826138003748784	-0.826138003748784
899.913672	65	-0.8601016285150864	-0.8601016285150864
901.474414	65	-0.5979546480906683	-0.5979546480906683
903.035059	65	-0.8368277417072719	-0.8368277417072719
904.595605	65	-0.9234440613535266	-0.9234440613535266
906.156055	65	-0.9932363547090609	-0.9932363547090609
907.716406	65	-0.8651617719422671	-0.8651617719422671
909.27666	65	-0.8639546913843958	-0.8639546913843958
910.836816	65	-0.9942482908524486	-0.9942482908524486
912.396777	65	-0.9746127433467345	-0.9746127433467345
913.956738	65	-0.8908427727055752	-0.8908427727055752
915.516602	65	-0.5053822237455478	-0.5053822237455478
917.07627	65	-0.7651284895920577	-0.7651284895920577
918.635938	65	-0.8325243360742769	-0.8325243360742769
920.195508	65	-0.9417548518841242	-0.9417548518841242
921.754883	65	-0.8073757363386598	-0.8073757363386598
923.314258	65	-0.5315511992228271	-0.5315511992228271
924.873437	65	-0.7891235955029742	-0.7891235955029742
926.432617	65	-0.8534037974560216	-0.8534037974560216
927.991699	65	-0.9508783032235036	-0.9508783032235036
929.550684	65	-0.702278370310066	-0.702278370310066
931.109473	65	-0.6732451600830858	-0.6732451600830858
932.668262	65	-0.8241324914466909	-0.8241324914466909
934.226953	65	-0.9991139484399796	-0.9991139484399796
935.785547	65	-0.9924573618779882	-0.9924573618779882
937.344043	65	-0.9343001711699991	-0.9343001711699991
938.902539	65	-0.8333853339655943	-0.8333853339655943
940.46084	65	-0.977769268833345	-0.977769268833345
942.019141	65	-0.9338681376962307	-0.9338681376962307
943.577246	65	-0.9686974431338443	-0.9686974431338443
945.135352	65	-0.7333842436727007	-0.7333842436727007
946.693359	65	-0.9935527030339338	-0.9935527030339338
948.25127	65	-0.8765971916435366	-0.8765971916435366
949.809082	65	-0.9156640277328418	-0.9156640277328418
951.366895	65	-0.8218637342920633	-0.8218637342920633
952.924609	65	-0.963124881465621	-0.963124881465621
954.482227	65	-0.9784414455487928	-0.9784414455487928
956.039746	65	-0.9998430662827589	-0.9998430662827589
957.597168	65	-0.9655744801371503	-0.9655744801371503
959.15459	65	-0.7775717981329274	-0.7775717981329274
960.711914	65	-0.7256061405181417	-0.7256061405181417
962.269141	65	-0.8647392083032143	-0.8647392083032143
963.826367	65	-0.990914444221926	-0.990914444221926
965.383398	65	-0.9668775707411236	-0.9668775707411236
966.940527	65	-0.9982826598588251	-0.9982826598588251
968.497461	65	-0.8180790450263105	-0.8180790450263105
970.054395	65	-0.61640330891676	-0.61640330891676
971.61123	65	-0.977603313609267	-0.977603313609267
973.168066	65	-0.9842986895465644	-0.9842986895465644
974.724707	65	-0.9927787410634767	-0.9927787410634767
976.281445	65	-0.9678598874973295	-0.9678598874973295
977.838086	65	-0.8507753274459969	-0.8507753274459969
979.394629	65	-0.9953143355514024	-0.9953143355514024
980.951074	65	-0.9658468031794862	-0.9658468031794862
982.50752	65	-0.98821192030986	-0.98821192030986
984.063965	65	-0.9916399427135054	-0.9916399427135054
985.620313	65	-0.999750639284334	-0.999750639284334
987.176563	65	-0.9784691110370537	-0.9784691110370537
988.732812	65	-0.9900692866130238	-0.9900692866130238
