wavelength	aoi	alpha	beta
350.397168	65	-0.4947862741235141	-0.7983681465121101
351.986475	65	-0.4904740155109215	-0.80240537897906
353.575781	65	-0.4880872893607993	-0.8055730958756712
355.165088	65	-0.48640674974734893	-0.8077526728800604
356.75437	65	-0.4836667137628636	-0.8122042810589789
358.343628	65	-0.47840092666895584	-0.8179511585183525
359.932886	65	-0.473417599465997	-0.8236554441258802
361.522144	65	-0.47103164958854526	-0.8288802680849513
363.111377	65	-0.46906689955060543	-0.8348818901488039
364.70061	65	-0.46579692707978926	-0.8420094103549168
366.289819	65	-0.46834924949927	-0.8456389061225567
367.879028	65	-0.47055828308089925	-0.8489141145451029
369.468213	65	-0.4767518773456007	-0.8498895366886955
371.057397	65	-0.4819523058679439	-0.8514657972016004
372.646582	65	-0.4897506219695973	-0.8500794815505343
374.235718	65	-0.4976821743392255	-0.8480766027150882
375.824878	65	-0.507467922027859	-0.8453379047855161
377.414014	65	-0.5166908071660288	-0.8415369309305014
379.003125	65	-0.5250244911464552	-0.838020903210771
380.592236	65	-0.5349970005769441	-0.8330018409763916
382.181323	65	-0.5449689820616535	-0.8276789951169043
383.77041	65	-0.5512684568750561	-0.8243826440004706
385.359473	65	-0.5603614195860691	-0.8193720852810735
386.948535	65	-0.5684284307141678	-0.814297797874795
388.537573	65	-0.576666786081093	-0.8090938153667278
390.126587	65	-0.585246754529335	-0.803637434814416
391.715601	65	-0.5907664683094312	-0.8000007839178722
393.30459	65	-0.5952619475686148	-0.7967657297559786
394.893579	65	-0.6033417827719114	-0.7911156756807425
396.482544	65	-0.6073583140249339	-0.7885053414503309
398.071484	65	-0.6135686318277901	-0.7837744088382625
399.660425	65	-0.6189173134202336	-0.7799353575692725
401.249341	65	-0.6234547789966219	-0.7763565832228636
402.838232	65	-0.6290257681983381	-0.7720456174784945
404.4271	65	-0.6332356713400557	-0.7687587678763432
406.015967	65	-0.6368456004180358	-0.7659483114230515
407.60481	65	-0.6422769202322574	-0.761635640202251
409.193652	65	-0.6466591085220919	-0.7580660895401589
410.782471	65	-0.6496665249352599	-0.7554743905444419
412.37124	65	-0.6537439490598893	-0.751918807816058
413.96001	65	-0.6551237236164531	-0.7509898104583171
415.548779	65	-0.6575158046666406	-0.749206918892028
417.1375	65	-0.6626948414263157	-0.7445567174560696
418.726221	65	-0.6662095264996358	-0.7417134834418755
420.314893	65	-0.6688071669000302	-0.7393495536294502
421.903564	65	-0.6711325779445176	-0.7374111725708792
423.492236	65	-0.6741972881135961	-0.7347002811112154
425.080859	65	-0.6770309447189428	-0.7320279829685379
426.669482	65	-0.6800637129655244	-0.7293981895866152
428.258057	65	-0.6824202163577191	-0.7273419005583688
