wavelength	aoi	alpha	beta
350.397168	65	-0.41633185857284805	-0.5482775503371274
351.986475	65	-0.4554788109653429	-0.6532547955460315
353.575781	65	-0.4785822285047198	-0.7378382341414353
355.165088	65	-0.49621817049635975	-0.8012050480075668
356.75437	65	-0.5034528371206326	-0.8468609499994699
358.343628	65	-0.49863413248456295	-0.8668117323106214
359.932886	65	-0.4866490762282257	-0.8555099765051506
361.522144	65	-0.4660315709785992	-0.8145946953382353
363.111377	65	-0.43313785868466115	-0.7563184062569667
364.70061	65	-0.3957447771331139	-0.6896471093621583
366.289819	65	-0.3555770079157471	-0.6161342746641402
367.879028	65	-0.31163349353077124	-0.5495677585285865
369.468213	65	-0.2605039694209677	-0.4906033868120407
371.057397	65	-0.2012504590664657	-0.45855319655933985
372.646582	65	-0.13305577899043078	-0.4576429989458242
374.235718	65	-0.04860843345547815	-0.4857473892046678
375.824878	65	0.05271734196537765	-0.543257102073389
377.414014	65	0.17729777095199428	-0.640418127667859
379.003125	65	0.30705263417191303	-0.7520992440067557
380.592236	65	0.4289762826751305	-0.8546839511829254
382.181323	65	0.4794063350701358	-0.871374973349194
383.77041	65	0.4202275420263495	-0.775106762766561
385.359473	65	0.2926862078265983	-0.6279266839339858
386.948535	65	0.1531581398695041	-0.49255603984299634
388.537573	65	0.03258001935358649	-0.3943551047635492
390.126587	65	-0.07419388032147717	-0.33225509379743884
391.715601	65	-0.16287773658833993	-0.30713738418644754
393.30459	65	-0.2389858135876145	-0.3056791784790082
394.893579	65	-0.3019158181404121	-0.32406734999017905
396.482544	65	-0.36121652832938644	-0.35239270539687617
398.071484	65	-0.41325202005979594	-0.39795314234157375
399.660425	65	-0.46137587664452634	-0.450103653851086
401.249341	65	-0.5042429110492562	-0.5068880321802891
402.838232	65	-0.5420037611368275	-0.564018235135383
404.4271	65	-0.5761480137239121	-0.613107645485148
406.015967	65	-0.6037934590751526	-0.6624215330932376
407.60481	65	-0.6272312865812758	-0.7024563037772943
409.193652	65	-0.6462088831858357	-0.7303398487803255
410.782471	65	-0.6570459318252887	-0.7459923442690461
412.37124	65	-0.6609670593773023	-0.750386846750798
413.96001	65	-0.662341103565001	-0.7391173101428482
415.548779	65	-0.6524717036234765	-0.7206345367376649
417.1375	65	-0.6402296224707635	-0.6871669033262647
418.726221	65	-0.6236376459128466	-0.6500182879058383
420.314893	65	-0.6026723036502596	-0.603656928446409
421.903564	65	-0.5751883567460081	-0.5551266803544294
423.492236	65	-0.5447666097096174	-0.5058767721126493
425.080859	65	-0.5133241127339458	-0.45954287912675884
426.669482	65	-0.4746137145086282	-0.412701798355768
428.258057	65	-0.43303991407651643	-0.3738811953988079
429.846582	65	-0.3881775391517943	-0.33737200553032537
431.435156	65	-0.34173895390059655	-0.31752702707312574
433.023633	65	-0.301051706516182	-0.3178846404666782
434.612158	65	-0.2412331957795587	-0.32956578233037453
436.200586	65	-0.14123011592590726	-0.33496907071072873
437.789063	65	-0.0330629708653302	-0.34373684185013453
439.377441	65	0.06810113588987586	-0.3732079491873416
440.965869	65	0.19205948763634972	-0.4295210644634372
442.554199	65	0.3396591661964318	-0.49988878427367256
444.142529	65	0.4924865996878318	-0.5773299035410372
445.730859	65	0.6303672665986556	-0.6493200385055116
447.319141	65	0.7136682565046858	-0.6901526717797103
448.907373	65	0.7085603765325441	-0.6632533581755009
450.495605	65	0.6053683955337585	-0.576553383614057
452.083789	65	0.4624153534109899	-0.4828410398465732
453.671973	65	0.31209781278338833	-0.3983322985977091
455.260107	65	0.16514427850480223	-0.3263670943582338
456.848193	65	0.039358001849793496	-0.2736810311239793
458.436279	65	-0.06318198597851536	-0.24140135864195938
460.024316	65	-0.15311167527681846	-0.21930653115379908
461.612305	65	-0.22423181084135488	-0.21134842923748326
463.200293	65	-0.29300655319737573	-0.21384262084552386
464.788232	65	-0.3484211832749429	-0.228691698791177
466.376172	65	-0.3961290718029176	-0.24614955526142154
467.964014	65	-0.44756862284674565	-0.27364235927769187
469.551855	65	-0.4894480506334454	-0.300307918837867
471.139697	65	-0.5259711852096196	-0.3342876032981893
472.727441	65	-0.56174132917313	-0.36743345728652305
474.315186	65	-0.5918182053051835	-0.40419373282419674
475.902881	65	-0.6193988418627747	-0.43578429510464545
477.490527	65	-0.64435015774202	-0.4715954913232489
479.078174	65	-0.6708423356304379	-0.5079322782631277
480.665771	65	-0.6928155327251847	-0.5394168217634678
482.25332	65	-0.7085825694685182	-0.5718541246615808
483.84082	65	-0.7253158839805091	-0.5961742650900601
485.428271	65	-0.7387450437461388	-0.6149010437655333
