wavelength	aoi	alpha	beta
350.397168	65	-0.1988463751954851	-0.39692228773586175
351.986475	65	-0.11218325554775592	-0.4046329503457984
353.575781	65	-0.001302055160794615	-0.45828481156855616
355.165088	65	0.13940850692579193	-0.5650557462438944
356.75437	65	0.3019073248105854	-0.7135813299533352
358.343628	65	0.441475114931356	-0.8457686165545609
359.932886	65	0.48090800141652135	-0.8649051280755157
361.522144	65	0.396549014709168	-0.7464070252137389
363.111377	65	0.26170572254461333	-0.5842445843520595
364.70061	65	0.12501732221092068	-0.4388925543659192
366.289819	65	0.009674100539691304	-0.3386356117543653
367.879028	65	-0.08239023947890768	-0.285434767979532
369.468213	65	-0.15644277294876993	-0.27190082883261807
371.057397	65	-0.21835272710262466	-0.2893072505441526
372.646582	65	-0.27244659931031606	-0.3298794161051944
374.235718	65	-0.3216995126001869	-0.38697060436032293
375.824878	65	-0.36754636199664215	-0.454531345598925
377.414014	65	-0.4101565025792064	-0.5273320164138806
379.003125	65	-0.44960822882437346	-0.6002009546954702
380.592236	65	-0.4852772721333516	-0.6683407012836036
382.181323	65	-0.5163795042219661	-0.7274461495178873
383.77041	65	-0.5422086172729177	-0.7735106736036204
385.359473	65	-0.5620446199612656	-0.803529823477022
386.948535	65	-0.5753544542306437	-0.8157258598732302
388.537573	65	-0.5818722210226144	-0.8096675639872195
390.126587	65	-0.5816157698117176	-0.7863477652397831
391.715601	65	-0.5748641644502099	-0.7479340765457644
393.30459	65	-0.5620962599672994	-0.6974839989410639
394.893579	65	-0.543860532025393	-0.6385547539139852
396.482544	65	-0.5206751300324143	-0.5748224035921833
398.071484	65	-0.4928984542723978	-0.50992214751012
399.660425	65	-0.4606279177889949	-0.447189265949039
401.249341	65	-0.4235933062884933	-0.38967884351364
402.838232	65	-0.38104134638321707	-0.3402063529810824
404.4271	65	-0.33161853109845535	-0.3014493413257329
406.015967	65	-0.2771666162549243	-0.27693795665243076
407.60481	65	-0.21316829439727886	-0.26667609235660283
409.193652	65	-0.1356853838082911	-0.272945140627898
410.782471	65	-0.04080647585016796	-0.29858740750179186
412.37124	65	0.07539255541793133	-0.3461767608316232
413.96001	65	0.2148867548910056	-0.4165618506977726
415.548779	65	0.3733283843375941	-0.5057329960401068
417.1375	65	0.5333399476134475	-0.6001751628547186
418.726221	65	0.6605205961805365	-0.6745939039804442
420.314893	65	0.7138562247721049	-0.7002852087175356
421.903564	65	0.6730931482025349	-0.6647526512949332
